,PC1,PC2,PC3
LUSC:sample324,-0.000250644,-0.000210119,0.000569921
LUSC:sample325,-0.000574042,0.000209744,8.25E-05
LUSC:sample326,-0.000480347,-0.000433361,0.000309092
LUSC:sample327,-0.000578784,-0.000267877,0.000573683
LUAD:sample328,2.84E-05,0.00047941,-0.000812417
LUAD:sample329,0.000479046,-0.000580967,-0.000260466
LUAD:sample330,0.000371237,-0.000544988,0.000119068
LUSC:sample331,-0.000337246,0.000191253,0.000824327
LUAD:sample332,0.00035648,0.000221072,-0.000647524
LUAD:sample333,0.000314648,0.000846453,4.14E-05
LUAD:sample334,0.000634293,-0.000135556,0.000667083
LUAD:sample335,0.0003728,0.000223236,-0.000836093
LUAD:sample336,0.000132578,0.000124798,-0.000785116
LUSC:sample337,-9.65E-05,-0.000675598,0.000627733
LUAD:sample338,-0.000115974,0.000477428,-0.000877981
LUSC:sample339,0.000387361,0.000611008,0.000877695
LUSC:sample340,-8.71E-05,-0.000135537,0.000198817
LUAD:sample341,-0.000198436,0.000164596,-0.001617431
LUAD:sample342,0.000376142,-0.000240947,-0.000450499
LUSC:sample343,-0.000195485,0.000312994,-0.00011519
LUSC:sample344,-0.000146523,-0.000778782,0.000601474
LUAD:sample345,-0.00017262,-0.000486636,-0.00010391
LUAD:sample346,0.000159648,0.000246567,-0.000492182
LUSC:sample347,-0.000647817,-0.000138111,0.00036969
LUSC:sample348,-0.000667735,-0.000196008,0.000258243
LUAD:sample349,0.000203934,-0.00046527,-0.000733112
LUAD:sample350,0.000728282,-0.000223593,0.001211845
LUAD:sample351,0.000553145,-0.000364762,0.00039328
LUSC:sample352,-0.000292548,7.48E-05,-8.37E-05
LUAD:sample353,-2.80E-05,0.000379173,-0.000602057
LUAD:sample354,0.000358764,-0.000408211,-0.000519157
LUAD:sample355,0.000515827,-0.000232107,0.000133209
LUAD:sample356,0.000365162,-0.000258901,-0.000568998
LUSC:sample357,0.00036325,0.001027077,0.001330633
LUSC:sample358,-0.000625174,-5.62E-05,-1.80E-05
LUSC:sample359,-0.000460897,8.45E-05,-5.21E-05
LUAD:sample360,0.000228986,0.000265586,-0.000696823
LUAD:sample361,-0.000168562,0.000821223,-0.001017003
LUAD:sample362,7.63E-05,-0.000442866,-0.000763823
LUAD:sample363,-3.66E-06,0.000778543,-0.000715488
LUAD:sample364,0.000384309,0.000336516,-1.88E-05
LUSC:sample365,9.90E-05,1.52E-05,-6.73E-05
LUSC:sample366,-0.000670681,-0.000289688,0.000167821
LUAD:sample367,0.000265478,0.000628228,7.28E-05
LUSC:sample368,-0.000483095,9.44E-05,2.36E-05
LUSC:sample369,-0.000189664,-0.000146718,0.000135791
LUSC:sample370,-0.000443856,-0.000191358,0.00038008
LUAD:sample371,0.000295277,0.000469243,-0.000129937
LUSC:sample372,-0.000196625,-0.000376126,-0.000557563
LUSC:sample373,-2.86E-05,-0.000924742,0.000605414
LUAD:sample374,-0.000104896,0.000377886,-0.000487647
LUAD:sample375,0.00021257,0.00049673,-0.000373189
LUAD:sample376,0.000747678,-0.000882968,0.000611899
LUSC:sample377,-0.000442011,0.000217043,-3.34E-05
LUAD:sample378,0.000716449,-0.000348856,0.000947357
LUAD:sample379,0.000167246,0.000138781,-0.000257544
