,PC1,PC2,PC3
LAML:sample842,0.00029006,0.000174086,9.32E-05
LAML:sample854,0.000308086,0.000186219,1.99E-05
LAML:sample856,0.000259841,0.000208354,-1.67E-05
LAML:sample862,0.000306341,0.000180423,0.000110198
LAML:sample865,0.000242702,0.00038844,0.000101525
LAML:sample871,0.000268149,0.000251112,7.24E-05
LAML:sample883,0.000287962,9.17E-05,9.94E-05
LAML:sample897,0.000306439,0.000270185,0.00037995
LAML:sample907,0.000301558,0.000260212,5.98E-05
LAML:sample917,0.00029649,0.000338296,0.000247157
LAML:sample93,0.00030494,0.000278298,0.000338711
LAML:sample931,0.000275725,0.000146546,0.000194617
LAML:sample932,0.000294421,0.000200189,4.56E-05
LAML:sample939,0.000229503,0.000212581,4.16E-05
LAML:sample961,0.00026901,0.00021999,0.000176693
LAML:sample968,0.00026182,0.000293381,6.22E-05
LAML:sample970,0.000302681,0.000200445,0.000216324
LAML:sample972,0.000289527,0.000281699,0.000349143
LAML:sample975,0.000302048,0.000228117,0.000212383
LAML:sample982,0.000305627,0.000107586,7.58E-05
LAML:sample988,0.000297315,0.000327331,0.000328991
